"","year","shannon"
"1",1981,1.26156298536036
"2",1983,1.48233564375467
"3",1984,1.48382566773181
"4",1985,1.66118741083287
"5",1986,1.78377612033583
"6",1988,0.94301964259694
"7",1989,1.15177145347239
"8",1990,1.60129010843771
"9",1991,1.7890022129141
"10",1992,1.75789519421758
"11",1993,1.696787775991
"12",1994,1.93589289470865
"13",1995,1.74374148741176
"14",1996,1.77666361709636
"15",1997,1.86966222549994
"16",1998,1.40130231778293
"17",2000,1.66805619833655
"18",2001,1.75484260568172
"19",2002,1.17078014339008
"20",2003,0.355920785214903
"21",2004,0.966209238867238
"22",2005,1.23528686952546
"23",2006,1.5679207055309
"24",2007,1.64696872135395
"25",2008,1.36754856018769
"26",2009,1.19103554804279
"27",2010,1.62615249166034
"28",2012,1.40599387786087
"29",2013,1.84531806894794
"30",2014,1.66815418030805
"31",2015,1.86533767714397
"32",2016,0.340396991767914
"33",2017,0.442363529081256
"34",2018,0.574686165110371
"35",2019,0.748758212628592
"36",2020,1.75420147226055
"37",2021,1.75717316280332
